Date,Open,High,Low,Close,Adj Close,Volume,,Returns,Sigma day,,,
2022-11-30,"182,429993","194,759995","180,630005","194,699997","194,699997",109186400,,"0,076701846190324",,,,
2022-12-01,"197,080002","198,919998","191,800003","194,699997","194,699997",80046200,,0,,,,
2022-12-02,"191,779999","196,25","191,110001","194,860001","194,860001",73645900,,"0,000821797650053",,,,
2022-12-05,"189,440002","191,270004","180,550003","182,449997","182,449997",93122700,,"-0,063686769661877",,,,
2022-12-06,"181,220001","183,649994","175,330002","179,820007","179,820007",92150800,,"-0,01441485362151",,,,
2022-12-07,"175,029999","179,380005","172,220001","174,039993","174,039993",84213300,,"-0,03214333096984",,,,
2022-12-08,"172,199997","175,199997","169,059998","173,440002","173,440002",97624500,,"-0,003447431763572",,,,
2022-12-09,"173,839996","182,5","173,360001","179,050003","179,050003",104872300,,"0,032345485097492",,,,
2022-12-12,"176,100006","177,369995","167,520004","167,820007","167,820007",109794500,,"-0,06271988724848",,,,
2022-12-13,"174,869995","175,050003","156,910004","160,949997","160,949997",175862700,,"-0,040936775792174",,,,
2022-12-14,"159,25","161,619995","155,309998","156,800003","156,800003",140682300,,"-0,025784368296695",,,,
2022-12-15,"153,440002","160,929993","153,279999","157,669998","157,669998",122334500,,"0,005548437393844",,,,
2022-12-16,"159,639999","160,990005","150,039993","150,229996","150,229996",139032200,,"-0,047187176345369",,,,
2022-12-19,154,"155,25","145,820007","149,869995","149,869995",139390600,,"-0,002396332354292",,,,
2022-12-20,"146,050003","148,470001","137,660004","137,800003","137,800003",159563300,,"-0,080536414243558",,,,
2022-12-21,"139,339996","141,259995","135,889999","137,570007","137,570007",145417400,,"-0,001669056567437",,,,
2022-12-22,136,"136,630005","122,260002","125,349998","125,349998",210090300,,"-0,088827566898358",,,,
2022-12-23,"126,370003","128,619995","121,019997","123,150002","123,150002",166989700,,"-0,017550825968103",,,,
2022-12-27,"117,5","119,669998","108,760002","109,099998","109,099998",208643400,,"-0,114088540575095",,,,
2022-12-28,"110,349998","116,269997","108,239998","112,709999","112,709999",221070500,,"0,033088919030044",,,,
2022-12-29,"120,389999","123,57","117,5","121,82","121,82",221923300,,"0,080826910485555",,,,
2022-12-30,"119,949997","124,480003","119,75","123,18","123,18",157777300,,"0,011164012477426",,,,
2023-01-03,"118,470001","118,800003","104,639999","108,099998","108,099998",231402800,,"-0,122422487416788",,,,
2023-01-04,"109,110001","114,589996","107,519997","113,639999","113,639999",180389000,,"0,051248853862144",,,,
2023-01-05,"110,510002","111,75","107,160004","110,339996","110,339996",157986300,,"-0,029039097404427",,,,
2023-01-06,103,"114,389999","101,809998","113,059998","113,059998",220911100,,"0,024651097504118",,,,
2023-01-09,"118,959999","123,519997","117,110001","119,769997","119,769997",190284000,,"0,05934901042542",,,,
